transaction_id,customer_id,customer_name,customer_risk_profile,account_id,account_type,timestamp,amount_usd,quantity,transaction_type,counterparty_name,counterparty_country,status,channel
TXN81A86E2B,CUST011,Ravi Shastri,Low,ACC1023,Checking,2026-04-01 12:45:15,662845.44,1,Wire,M. K. Holdings,Japan,Settled,Wire Transfer
TXN2AFFBB0E,CUST010,Amrita Sen,High,ACC1020,Checking,2026-04-01 14:19:04,45814.02,1,Withdrawal,Self,India,Settled,Online Banking
TXN6F7EB5E9,CUST008,Karan Johar,Low,ACC1015,Business,2026-04-01 14:31:42,179111.12,1,Deposit,Self,India,Settled,Online Banking
TXND9C7678A,CUST003,Aarav Mehta,Low,ACC1006,Business,2026-04-01 16:11:47,93318.46,1,Wire,Direct Express,Japan,Settled,Wire Transfer
TXNEF1C8A5C,CUST005,Amit Verma,Low,ACC1011,Checking,2026-04-01 17:36:22,37242.15,1,Withdrawal,Self,India,Settled,ATM
TXN40B03DF7,CUST008,Karan Johar,Low,ACC1016,Checking,2026-04-02 00:40:44,170732.1,1,Transfer,Damascus Trading,Switzerland,Settled,Mobile App
TXNC3D8316B,CUST001,Priya Patel,Low,ACC1003,Checking,2026-04-02 05:37:30,99225.84,1,Transfer,S.A. Trade Corp,Canada,Settled,Mobile App
TXNF1C7044B,CUST009,Anjali Gupta,Low,ACC1018,Business,2026-04-02 06:09:10,478840.61,1,Withdrawal,Self,India,Settled,Mobile App
TXN51617225,CUST002,Vikram Malhotra,High,ACC1005,Business,2026-04-02 07:51:27,1616820.89,1,Wire,Damascus Trading,Canada,Settled,Wire Transfer
TXN466C7CD0,CUST001,Priya Patel,Low,ACC1004,Checking,2026-04-02 08:36:43,194383.58,1,Transfer,Hassan & Co Financials,Switzerland,Settled,Mobile App
TXNBEB01D17,CUST006,Sanjay Singhania,High,ACC1012,Checking,2026-04-02 15:26:30,288883.62,1,Withdrawal,Self,India,Settled,Online Banking
TXN1EAAD300,CUST001,Priya Patel,Low,ACC1003,Checking,2026-04-02 16:11:38,126990.35,1,Transfer,Hassan & Co Financials,United States,Settled,Online Banking
TXN2820BDA1,CUST008,Karan Johar,Low,ACC1015,Business,2026-04-02 17:25:53,2445403.05,1,Wire,Capital Horizons,Australia,Settled,Wire Transfer
TXNF012F14A,CUST000,Rohan Sharma,Low,ACC1002,Business,2026-04-02 20:32:50,576924.82,1,Withdrawal,Self,India,Settled,Mobile App
TXNFAC2B0E8,CUST000,Rohan Sharma,Low,ACC1001,Checking,2026-04-02 21:51:55,99121.83,1,Deposit,Self,India,Settled,Mobile App
TXN24AFFD00,CUST010,Amrita Sen,High,ACC1021,Savings,2026-04-03 03:56:26,65858.21,1,Transfer,Capital Horizons,United Kingdom,Settled,Mobile App
TXND37993B5,CUST000,Rohan Sharma,Low,ACC1002,Business,2026-04-03 04:04:22,551833.37,1,Withdrawal,Self,India,Settled,Mobile App
TXN4E0CDA9B,CUST009,Anjali Gupta,Low,ACC1017,Business,2026-04-03 05:48:40,287385.28,1,Withdrawal,Self,India,Settled,Mobile App
